element_type,id,now_cost,selected_by_percent,team,web_name
3,3823,65.0,0,13,Borja Sainz
3,3298,70.0,0,13,Christian Fassnacht
3,2660,60.0,0,13,Christos Tzolis
2,1405,55.0,0,13,Dimitris Giannoulis
3,2736,75.0,0,13,Gabriel Sara
2,1051,55.0,0,13,Grant Hanley
2,1141,60.0,0,13,Jack Stacey
3,1210,50.0,0,13,Jakob Lungi Sørensen
3,2661,45.0,0,13,Jon Rowe
2,2748,45.0,0,13,Jonathan Tomkinson
4,2662,85.0,0,13,Josh Sargent
3,1062,55.0,0,13,Kenny McLean
3,2749,55.0,0,13,Liam Gibbs
3,2764,60.0,0,13,Marcelino Nuñez
2,1049,60.0,0,13,Maximillian James Aarons
3,2659,70.0,0,13,Milot Rashica
3,1057,65.0,0,13,Onel Lázaro Hernández Mayea
3,1212,55.0,0,13,Przemysław Płacheta
2,1075,50.0,0,13,Sam McCallum
2,3822,55.0,0,13,Shane Duffy
1,1047,50.0,0,13,Tim Krul
3,3646,50.0,0,14,Adam Fletcher Randell
2,1208,55.0,0,14,Bali Mumba
4,3645,45.0,0,14,Benjamin Peter Waine
2,923,45.0,0,14,Brendan Joel Zibusiso Galloway
1,3639,45.0,0,14,Callum Alex David Burton
3,2798,55.0,0,14,Callum Wright
1,3847,40.0,0,14,Conor Hazard
2,3643,45.0,0,14,Daniel George Scarr
3,3897,55.0,0,14,Finn Azaz
3,3644,45.0,0,14,Jordan Alexander Houghton
2,3641,45.0,0,14,Joseph Robert Edwards
2,3824,45.0,0,14,Julio Pleguezuelo
2,2788,45.0,0,14,K. Kessler
2,1291,45.0,0,14,Lewis Gibson
3,3879,45.0,0,14,Lewis Warrington
2,3642,45.0,0,14,Macaulay Gillesphey
3,1030,45.0,0,14,Matt Butcher
1,3640,45.0,0,14,Michael John Cooper
3,1218,50.0,0,14,Mikel Miller
4,636,60.0,0,14,Morgan Whittaker
4,3648,55.0,0,14,Ryan Hardie
2,3638,40.0,0,14,Saxon Earley
3,3647,50.0,0,14,Tyreik Samuel Wright
3,370,55.0,0,15,Alan Browne
3,2331,50.0,0,15,Alistair McCann
2,347,50.0,0,15,Andrew Hughes
3,1392,55.0,0,15,Benjamin Whiteman
3,1658,55.0,0,15,Benjamin Woodburn
2,362,55.0,0,15,Brad Potts
2,3825,55.0,0,15,Calvin Ramsey
4,1393,55.0,0,15,Ched Evans
1,1686,45.0,0,15,David Cornell
3,626,50.0,0,15,Duane Holmes
4,1299,70.0,0,15,Emil Riis
1,791,55.0,0,15,Freddie Woodman
2,110,50.0,0,15,Greg Cunningham
2,2704,50.0,0,15,Jack Whatmough
2,345,55.0,0,15,Jordan Storey
2,3899,45.0,0,15,Kian Best
4,3873,50.0,0,15,Layton Layton
2,755,50.0,0,15,Liam Lindsay
3,3848,60.0,0,15,Mads Frokjaer-Jensen
2,348,50.0,0,15,Patrick Bauer
2,2403,55.0,0,15,Robbie Brady
3,356,50.0,0,15,Ryan Ledson
4,2716,60.0,0,15,William Keane
2,3572,40.0,0,16,Aaron Drewe
3,96,50.0,0,16,Albert Danquah Adomah
3,1688,45.0,0,16,Andre Dozzell
1,1036,45.0,0,16,Asmir Begović
3,66,70.0,0,16,Chris Willock
3,3568,45.0,0,16,Elijah Dixon-Bonner
3,699,85.0,0,16,Ilias Chair
3,537,50.0,0,16,Jack Colback
2,204,45.0,0,16,Jake Clarke-Salter
2,1692,45.0,0,16,Jimmy Dunne
1,29,40.0,0,16,Jordan Archer
2,2665,50.0,0,16,Kenneth Paal
4,1227,70.0,0,16,Lyndon Dykes
2,750,45.0,0,16,Morgan Fox
2,707,40.0,0,16,Osman Kakay
3,1221,55.0,0,16,Paul Smyth
3,890,50.0,0,16,Sam Field
4,2751,55.0,0,16,Sinclair Armstrong
3,2492,55.0,0,16,Taylor Richards
2,3826,45.0,0,16,Ziyad Larkeche
3,366,55.0,0,17,Andre Green
3,1121,55.0,0,17,Ben Wiles
2,2726,45.0,0,17,Cameron Humphreys
3,1332,50.0,0,17,Carlos Miguel Ribeiro Dias
2,2720,45.0,0,17,Cohen Bramall
2,3880,45.0,0,17,Dexter Lembikisa
1,873,45.0,0,17,Dillon Phillips
3,1187,55.0,0,17,Fred Onyedinma
4,2673,50.0,0,17,George Kelly
2,690,45.0,0,17,Grant Hall
3,2671,45.0,0,17,Hakeem Odoffin
3,1160,50.0,0,17,Jamie Lindsay
2,2674,40.0,0,17,Jamie McCart
4,702,60.0,0,17,Jordan Hugill
2,82,45.0,0,17,Lee Peltier
3,2670,50.0,0,17,Oliver Rathbone
2,86,45.0,0,17,Sean Morrison
3,334,50.0,0,17,Shane Ferguson
2,2668,40.0,0,17,Tolaji Bola
4,525,55.0,0,17,Tom Eaves
2,137,45.0,0,17,Tyler Blackett
1,1264,50.0,0,17,Viktor Johansson
2,3650,40.0,0,18,Akinlolu Richard Olamide Famewo
3,2310,55.0,0,18,Anthony Musaba
4,675,60.0,0,18,Ashley Fletcher
2,841,50.0,0,18,Bambo Diaby
3,735,65.0,0,18,Barry Bannan
3,114,50.0,0,18,Callum Paterson
1,720,45.0,0,18,Cameron Dawson
2,2164,45.0,0,18,Di'Shon Bernard
2,729,45.0,0,18,Dominic Iorfa
3,804,55.0,0,18,George Byers
3,417,65.0,0,18,Josh Windass
2,3878,45.0,0,18,Juan Delgado
4,771,55.0,0,18,Lee Gregory
2,749,45.0,0,18,Liam Palmer
3,529,50.0,0,18,Mallik Wilks
3,669,60.0,0,18,Marvin Johnson
2,1120,45.0,0,18,Michael Ihiekwe
4,1125,60.0,0,18,Michael Smith
1,3649,40.0,0,18,Pierce Charles
2,3882,45.0,0,18,Pol Valentin
2,1673,45.0,0,18,Reece James
3,1270,45.0,0,18,Tyreeq Bakinson
3,121,45.0,0,18,Will Vaulks
4,598,100.0,0,19,Adam Armstrong
1,3652,55.0,0,19,Alex Simon McCarthy
2,3317,60.0,0,19,Armel Bella-Kotchap
3,3666,95.0,0,19,Carlos Jonas Alcaraz
4,3668,110.0,0,19,Che Zach Everton Fred Adams
4,3665,90.0,0,19,Ebere Paul Onuachu
1,3656,60.0,0,19,Gavin Okeroghene Bazunu
2,3654,55.0,0,19,Jack Stephens
2,924,65.0,0,19,James Bree
3,3667,110.0,0,19,James Michael Edward Ward-Prowse
2,2971,60.0,0,19,Jan Kacper Bednarek
3,3661,70.0,0,19,Joseph Oluwaseyi Temitope Ayodele-Aribo
2,3657,60.0,0,19,Juan Larios Lopez
3,3138,95.0,0,19,Kamaldeen Sulemana
2,3660,70.0,0,19,Kyle Leonardus Walker-Peters
